inner_id,username,profile,follower_cnt,following_cnt
436414302,bae617,@bae617_aussie  호주라이프🇦🇺,640,463
1452718799,april_2c,"RECORD OF ALL DAYS
•••
사람이 마음으로 자기의 길을 계획할지라도 그의 걸음을 인도하시는 이는 여호와시니라(잠 16:9)",370,344
11549756,jinaeching,광고반사,148,115
3434542716,yeji_cheong,"(구) 운동하는 디자이너
(현) 돼지런한 디자이너",370,406
1189368171,hanajang88,,191,156
8367483080,_sikooooo,"My daily log =)
옥탑 텃밭 농사일기_ @sikoos_rooftop_",89,75
1397770657,yisosiq,,286,367
1151410616,parkseoyoung_,"☕️coffee + 💐flower @s.youngrista
🏞drawing @s.sseum",372,423
8490288,h.inae_1221,eat🍴pray🙏🏼 love♥️,295,278
1950879654,yoonteahwan,추억창고/일상/배우,448,313
3246824463,grabmabeer,"Running a taphouse, DIBS in Hwajeong
30, male, South Korean, Fan of SK Wyverns.
Living in Ilsan, Gyeonggi-do",260,328
1192340829,jjung_luvly,"#동편마을속눈썹 #범계속눈썹#안양속눈썹
💎속눈썹연장 & 속눈썹펌💎
예약문의_________________❣️
카톡문의 : 이쁜아이속눈썹
오픈카톡🔽",332,263
1323920758,minhyung_88s,,178,268
3155564,mindeul,석초닝누나 ✌👀✌,366,233
358903802,svndyy_6uvq,"요리하는샌디뱅 @babmate_ 
🇦🇺working holiday 27.12.18~01.05.20 
🇰🇷🇵🇭🇯🇵🇯🇵🇬🇺🇯🇵🇵🇭🇭🇰🇹🇭🇯🇵🇲🇵🇱🇦🇯🇵🇵🇭🇭🇲",467,498
436474363,capitalc22,,132,125
1434651632,ggool_pig,FX실전트레이더,104,73
535598032,iilikethat,,109,72
44388179,lovely223,💞🏡 희그와트 🏡💞,639,289
1195205147,kim_88js,"#서른셋 #두딸맘 #딸스타그램❤
#육아 #일상 #소통 #좋아요 #💕",471,396
2284150855,lala_rami,,151,122
329515946,youk_ing,"Graphic Designer
😈
예스잼 기록용",206,243
6024750183,kjh.1001,서울. 강아지 좋아해용♡ puppy dog ♡,68,141
1683238193,tenka123,,142,120
1557980732,joooooooooovely,">>> 지구 탐험중😎, 인생은 칼라풀하게🍒
#사랑하자 #풍요롭자 #행복하자",381,370
1238506061,xjrange,참신하고 긍정적인 병맛으로 있고싶다,258,155
1816259557,yjiy1111,𝗬𝗷_𝘆𝗲𝗼𝗻 𝗗𝗶𝗮𝗿𝘆💗,400,260
2358924217,hyoungseok2,부산,251,169
7132265584,sungsin817,,174,189
5370919258,_sseuni,ᴘɪᴛ ᴀ ᴘᴀᴛ ఇ ෆ,298,267
39212989,if._.onlyyy__,나는 우울한 날에도 내마음을 지키기로 했다 🌹,216,193
1702234445,shlovesh05,"여행 좋아하고 사진 좋아하는 
뚜혀니맘😊 
여아 돌드레스.한복 대여 시작합니다
@flowerstar1214",271,162
12705501,soooooy_1987,"디자인/패키징 매니아, 라운지음악 매니아.
그리고 Worshipper
제가 알지못하는 분의 팔로워 신청 받지 않습니다.
🇰🇷🇺🇸🇯🇵🙏🏻🐰🧘🏻‍♀️",267,647
1200656209,my_luckystrike,반짝이는지금 ✧*,196,126
4887265106,zn_111120,"💕2011.11.20
💍2018.11.10",95,223
6251891757,dayofpeace1,빵만 먹고 사는건 아닙니다 🍞,80,44
4870087569,eunji_8890,,284,382
1806978119,lovely_ssssa,,103,218
283328803,kkang_and_po,"강미선, 강포엄마, 강대표, 강딸, 강고모, 강이모, 강작가 그리고 더 많은 이름을 위해
👇🏻282북스",474,426
1388722616,ye._.niii,"2016. 03. 26 봉봉💍꾸꾸
2017. 06. 07 예니💛
2019. 07. 10 차니💙",263,115
1969977657,kim_8803,,119,100
3405211335,jeonghyon2,"love food, love God more🍯",419,422
1091656626,y_onii,"𝒫𝒽𝑜𝓉𝑜𝒷𝓎𝒾𝒫𝒽𝑜𝓃𝑒𝓅𝓇𝑜
👇🏻코난이는 요기👇🏻
@mynameiz__conan
👇🏻AK평택점 엄브로는 요기👇🏻
@umbro_akpt",412,360
2727154887,irene_______bae,"Ewha 🌸 
Grad Student 👩🏻‍💻",194,413
2102330613,joontaeriyoon,그냥우리가족사진,95,319
2197624171,msy9968,"2015.05.30  이종영💑문서영
2015.11.14 15시10분 이지우👪
60cm 3.46kg 
2020.02.04  이지한
54cm 
하루가 바쁜우리😆",257,200
4181068788,daisy_soyeon,"지금, 여기
Here and Now",151,99
258069761,jaelongkim,,139,286
977650880,kimyeonji_paris,Mattew 7:21,559,268
1497648532,snowdrop86_,,147,385
3874856355,yjoo_2631,💕,84,138
3450358091,junehiaos,,155,205
1454990560,hoodieman263,도라이임,157,534
1496993039,walkon_thewater,임크레더블(Imcredible),209,502
1446109852,nari_keem,찬란한 순간을 담아,153,90
1227187667,something_b104,,191,176
1035278426,hellovagabond,"Ayla Pilates 원장
Pilates instructor🧘🏻‍♀️
#기흥역필라테스 #기흥필라테스 #기흥센트럴푸르지오
@aylapilates_official",409,656
1108259741,is_ks_sh_dj,"▫️소중한 하루 기록 ෆ⃛
  #육아 #육아소통 #육아일기 #남매 [8살 서희👧🏻 6살 동준👦🏻]
                                  
▫️운동해요 @isisisisis_33",251,197
1526142065,s2.___.im,"⠀ 
👶🏻 ᵞᴼᴼ ᴬᴴ ᴵᴺ , ᵞᴼᴼ ᴬᴴ ᴶᵁᴺ 👶🏻
 ⠀
 ⠀
⠀
ᴅᴀɪʟʏ ɪɴsᴛᴀɢʀᴀᴍ 👉🏻 @s2.___.15
 ⠀
👇🏻👇🏻 문의 👇🏻👇🏻",623,213
358476763,2b5ra,carpe diem,230,366
4174678655,johnny_go_98,"Postech Electronic Engineering 17
•
•
Dance🔥 @johnny_dlog",348,273
633912676,aradyo_,God makes no mistakes🙏🏻,162,464
1285512716,kimjoanne,Fashion•Design•Pattern•Turophile,339,229
1103320436,jungeuni_hyun,"💑20181124보조개쀼
💃🏻여전히까불고싶은어른
💫의식의흐름대로사는중",364,208
2329292752,ssong0304,"carpe diem.
2019.05.20 AM 11:23🐥
하종민+송미연+하근영=행복한우리집🏡",628,317
11113326,_eunbyoul,제주섬. 이따금 육지,259,481
1660182383,un_lee9032,"베스킨라빈스살☆
채권전략팀 노예☆",257,286
1970582508,kkobuk.sue,"Cheshire
🌟
응, 아냐.",91,236
1409482715,h___jjun,BN스피닝,454,407
51431745,gibog2,"#스물열두살 
#바텐더 #바리스타 #맥덕 #애주가 #먹식가 #beer #셀기꾼 #사랑꾼 #집순이 #다이어터 #전생에뽀로로 #노는게제일좋아 😙😍",211,99
18838912,g_hey_choi,"예술의 일상화. 일상의 예술화.
좋아하는 것에 호들갑을 떱니다.
My drawings👉@zeze_choi",475,410
1798164205,185.76cm,😕,248,300
2514569698,longlimbs_9m,길길팔 인스타계정,46,7
1336057566,gwiham_ek,,133,302
871123355,z.youngs,,91,100
1388768803,jyh.house,"별이와 함께하는 신혼일기 💁🏻‍♀️🙋🏻‍♂️🐶
🇰🇷🇺🇸NY
끄적끄적 계정 @by.jyh",327,198
1468930477,jjo_6.7,,126,87
45365749,ceojimin,2012.04.23 ~ 매일매일의 추억 기록장... Jiminstagram😶💕,255,209
674815200,1goo_,,0,8
1393060496,laviedehyeon,,288,310
434549956,changuri.hyun,Hyeony,132,170
8520673792,hyominworldwide,@hyominnnⓂ️ @hyominnn_official🔴,233,113
532516128,beve._.nana,🤰🏻🎺🎺🦦🤎,574,180
1552005621,jian.mom_89,"2016.10.11 am 9:12 
~ ing 💕",474,407
670646808,ireneiskool,,274,244
47535698,miyamiyaa_,"⠀
-
여행🌴
가끔 집과 일상",261,480
632748486,genesismyth,,292,265
