inner_id,username,profile,follower_cnt,following_cnt
37131471588,econ.song_study,"🏫 ᴜɴɪᴠᴇʀsɪᴛʏ : sᴏᴏᴋᴍʏᴜɴɢ ᴡ.ᴜɴɪᴠ.
🔖 ᴍᴀᴊᴏʀ : ᴇᴄᴏɴᴏᴍɪᴄs
💙 @_longxyeon_
❄️ #눈송이는공부중",114,131
40229825185,_study_98,"Success is the sum of small efforts that have been repeated day after day.
✏ 2020. 08. 15. ~
▫️ 공부 기록📝
▫️ 토익 독학📚
▫️ 2021 사회복지 1급 합격🙏",1,1
1419514552,law_zyana,"𝘛𝘩𝘦 𝘫𝘰𝘶𝘳𝘯𝘦𝘺 𝘪𝘴 𝘵𝘩𝘦 𝘳𝘦𝘸𝘢𝘳𝘥.
-
2021.2🚪🔨🔨🔨
법원 49기 여정의 기록 🌠",229,81
33753806728,_nurstagram__,"👉🏻SN
👉🏻공부 흔적 계정",29,27
38928733348,jaeyoons_view,"내가 바라보는 세상 👀
✏️ 기록을 좋아하는 대구 청년🕴🏻
🔻자세한 리뷰는 블로그로!🔻
.
#정보 #꿀팁 #대구 #대구가볼만한곳 #대학생활",66,14
26246423935,taaaaaaaaaaco_01,"조용한 개관종의 삶을 살고싶다
Mi cumpleaños es el 05 de octubre
#타코공스타그램 #타코의그림일기 #타코다이어트 #타코덕질 #타코스타그램",9,133
30569669996,hani._.pun,"밍기적 공부일기 for KMED 2022
한자2급 / 텝스 / 연구보조 / 밋두
노는게 제일 좋은 뽀로로가 공부하는 법🐧💦",265,233
39889384606,i_never_study,"🇺🇸 𝐂𝐨𝐥𝐥𝐞𝐠𝐞 𝐒𝐭𝐮𝐝𝐞𝐧𝐭
💻 B.S. ɪɴ Cᴏᴍᴘᴜᴛᴇʀ Sᴄɪᴇɴᴄᴇ
📊 B.S. ɪɴ Aᴘᴘʟɪᴇᴅ Mᴀᴛʜ & Sᴛᴀᴛɪsᴛɪᴄs 
🇪🇸 𝚂𝚝𝚞𝚍𝚢𝚒𝚗𝚐 𝚂𝚙𝚊𝚗𝚒𝚜𝚑",108,91
39228037109,pureun_29,"대학생 공스타
이것저것 경제학과ღ'ᴗ'ღ",87,54
8652840189,sunshine__eng,"YBM 건대 선샤인영어스쿨/
선샤인's올킬영어 대표 마감강사
선샤인영어 대표
■기업강의/ 관공서출강/1:1맞춤수업/ 그룹수업
#기초영어 #영어회화 #영어공부 #토익 #생활영어 #여행영어
■수업문의& 영어상담:(카톡 ID) tpfk1124, DM",278,226
582709075,retiquee,"사회초년생을 위한 퀄좋은 여성의류 𝐑𝐄𝐓𝐈𝐐𝐔𝐄
#패션꿀팁 #직장인웹툰 #쇼핑정보",611,314
39841163973,joy._.eun22,"하나씩 채워가자◾️◽️◽️◽️◽️🏃🏻‍♀️
💫공기업 화학, 생명, 환경 관련 직무 취업하기
🔛 토익 850+, 위험물 산업기사
#맞팔환영 
#studywithme",194,208
4185810898,_gold.space,"#2021임용 #도덕윤리 #윤리임용 #대학생공스타그램 
每天我想象当姜老师。2021年我要去高中
팔로우는 자극을 위해 글을 주기적으로 올리는 공스타만 합니다:)",406,91
21763919333,gongstadan12,"공부기록 남기기 프로젝트 📙📙
대학생
맞팔은 댓글로 알려주세요😆",122,119
11398044754,ardour.0x,"sᴛᴜᴅʏɪɴɢ
대학생공스타그램
📚TOEIC,TOEFL
📚French
📖 Etc.",29,16
9868758010,miracle_twenty,"인서울 공대생 20학번
11.15.19~ing(대학생공스타그램)
전과준비중",76,56
7120729066,filmstudying19,"1st Major: THEATER&FILM🎬
2nd Major: CULTURE, TOURISM&CONTENT🏖
📚2020-여름📚
나의 가벼운 일본어(日本語勉強)
동아리 임원활동&홍보 준비
전공강연 복수전공ppt&본전공 체험형 ppt 제작",218,132
8549306963,xa_0__studying,"공부하는 습관 다시 키우는 중•••
ᴋɴᴜ ʙɪᴏᴇᴅᴜ
🌱2024 임용
🌱본계 @da_0__ing",233,92
39487922165,nan.byeol,"🌟Future isn’t written yet🌟
#🇰🇷 #경영학과 #대학생 #공스타그램 
#2020 #toeic 
#2022 #cpa",13,9
35168341685,eunkong_e2,𝙄'𝙢 𝙩𝙝𝙚 𝙤𝙣𝙡𝙮 𝙤𝙣𝙚 𝙬𝙝𝙤 𝙘𝙖𝙣 𝙨𝙖𝙫𝙚 𝙢𝙚,37,37
11428883108,nursing_lily,"스스로의 기준에 만족할 만큼 최선을 다하는 학과 라이프!٩( ᐛ )و
🌙간호학과 18학번🌙",676,61
30554432437,youl_fridge,"<휴학기록>
☝🏻토익 (11월에 다시 시작예정)
✌🏻컴활1급 필기 (진행중)
👌🏻틈틈이 디자인공부
일상계정》@ssin_youl
#공부하는덕새들",35,107
14678871153,ebit1620245,#맞팔해요 #맞팔선팔환영 #대딩스타그램 #일상ㅅ스타그램 #일상소통환영#국시공부중 #국시생 #국시준비 #공부하기싫다 #선팔하면맞팔가요 #선팔환영🙌#맞팔선팔환영,104,116
32746487280,cuty_cle,#취준생 #공대생,184,129
39554937797,20_dental__hygiene,📝공부하려고 만든 계정,19,11
11204880120,orof.kr,🖤 첫번째 마켓 진행중 🖤 문의 dm 주세요 〰️,72,0
27972780174,noonmoo01,"Sookmyung Women's University
Consumer Economics
🎖NOW GOAL
TOEFL 100 -> 2021-2 NTU Exchange student
☄️FUTURE
BIG DATA Analyze Marketer",65,94
40637109672,t6_p97,"취준생 공스타
공스타 맞팔가능",17,2
5635402219,1rreplacable,"Ewha W. Univ. 
Philosophy & Scranton Honors Program ISC
@yewan_the_genuine
爲己之學",627,98
8896829785,min_kyung27,"🍀영양교사를 꿈꾸는 식영과 새내기🍀
🌸올해 안에 한식&양식&컴활🌸",27,23
6218330617,everyday_twinkle_20,"🌹 내가 가는 길이 꽃길이 아니라면 꽃을 심어 꽃길을 만들 용기를 가질 것 🌹
🏫 경상학부 20학번 (가전공-무역학과)
궁금한 점은 댓글이나 DM등으로 언제든지❣
-
⁉️ 수시 반수, 학부생이라 2학년 때 전공 정해요😖",409,222
26278462687,becomingdobi_izzy,척척석사가 되고 싶어요 🇩🇪,58,37
39516722589,study_igwasaeng,"18학번 학부생
💙 학부생 연구 프로그램 진행중
💙 토익 900 준비중
💙 대학원 준비중 (뇌인지과학 희망)",104,138
31477205895,gongbu_jin,"공부하는 계정입니다:)
#대학생공스타그램 #시간아껴쓰기 #데이터사이언티스트의길",14,7
3140501413,_sr._.cpa,"🔥𝟮𝟬𝟮𝟰𝗖𝗣𝗔🔥 
𝗜 𝘄𝗶𝗹𝗹 𝗽𝗿𝗼𝘃𝗲 𝗼𝘁𝗵𝗲𝗿𝘀 𝘄𝗿𝗼𝗻𝗴
더딘 발걸음일지라도, 그대가 걷는 길을 믿고 나아가시오.
#회시생 #CPA #2024 #자기관리용",88,23
15514152685,5uetudygram,"자기자리에서 최선을 다하기🙏🏻
👤경영학과 20학번
👥각종 자격증(회계/어학준비)",50,22
26163105508,smfvma0812,"🙋‍♀️사회계열 학과 20학번 재학중 
 공스타그램 맞팔 환영🤗 (선팔 후 DM주세요!)
 대외활동계정 @smfvma0813
🔛 빡공단 3기, 이노베이더 2기, OA MASTER
🔜 한국사고급 1급, 포토샵, 컴활2급
🔚 운전면허
 #대학생공스타그램 #대학생활그램",110,73
